month, format: day,hour,forecast,3시간기온,6시간적설,풍향,풍속,강수형태,습도,6시간강수량,하늘상태,일최고기온,일최저기온,강수확률
1, 10,1400.0,25.0,-4.0,0.0,334.0,7.4,0.0,58.0,0.0,1.0,,,0.0
1, 10,1400.0,28.0,-4.7,,340.0,5.7,0.0,58.0,,1.0,,,0.0
1, 10,1400.0,31.0,-5.6,0.0,346.0,3.8,0.0,63.0,0.0,1.0,,,0.0
1, 10,1400.0,34.0,-3.7,,348.0,1.4,0.0,60.0,,1.0,,,0.0
1, 10,1400.0,37.0,-1.2,0.0,357.0,1.5,0.0,41.0,0.0,1.0,,,0.0
1, 10,1400.0,40.0,1.5,,327.0,2.3,0.0,42.0,,1.0,,,0.0
1, 10,1400.0,43.0,-0.8,0.0,342.0,3.0,0.0,54.0,0.0,1.0,,,0.0
1, 10,1400.0,46.0,-3.0,,5.0,1.1,0.0,72.0,,1.0,,,0.0
1, 10,1400.0,49.0,-4.0,0.0,3.0,1.2,0.0,77.0,0.0,1.0,,,0.0
1, 10,1700.0,4.0,0.2,0.0,313.0,4.1,0.0,72.0,0.0,3.0,2.9,-0.8,20.0
1, 10,1700.0,7.0,1.2,,329.0,4.4,0.0,62.0,,2.0,2.4,-5.6,10.0
1, 10,1700.0,10.0,1.9,0.0,323.0,4.3,0.0,51.0,0.0,1.0,,,0.0
1, 10,1700.0,13.0,2.7,,325.0,6.0,0.0,46.0,,1.0,,,0.0
1, 10,1700.0,16.0,-1.0,0.0,330.0,7.8,0.0,52.0,0.0,1.0,,,0.0
1, 10,1700.0,19.0,-2.9,,333.0,7.2,0.0,60.0,,1.0,,,0.0
1, 10,1700.0,22.0,-4.0,0.0,334.0,7.4,0.0,58.0,0.0,1.0,,,0.0
1, 10,1700.0,25.0,-4.7,,340.0,5.7,0.0,58.0,,1.0,,,0.0
1, 10,1700.0,28.0,-5.6,0.0,346.0,3.8,0.0,63.0,0.0,1.0,,,0.0
1, 10,1700.0,31.0,-3.7,,348.0,1.4,0.0,60.0,,1.0,,,0.0
1, 10,1700.0,34.0,-1.2,0.0,357.0,1.5,0.0,41.0,0.0,1.0,,,0.0
1, 10,1700.0,37.0,1.5,,327.0,2.3,0.0,42.0,,1.0,,,0.0
1, 10,1700.0,40.0,-0.8,0.0,342.0,3.0,0.0,54.0,0.0,1.0,,,0.0
1, 10,1700.0,43.0,-3.0,,5.0,1.1,0.0,72.0,,1.0,,,0.0
1, 10,1700.0,46.0,-4.0,0.0,3.0,1.2,0.0,77.0,0.0,1.0,,,0.0
1, 10,2000.0,4.0,2.2,,325.0,4.8,0.0,70.0,,2.0,3.1,-5.3,10.0
1, 10,2000.0,7.0,3.1,0.0,317.0,4.3,0.0,50.0,0.0,1.0,2.5,-4.9,0.0
1, 10,2000.0,10.0,2.9,,322.0,6.2,0.0,45.0,,1.0,4.5,,0.0
1, 10,2000.0,13.0,-0.8,0.0,331.0,7.0,0.0,55.0,0.0,1.0,,,0.0
1, 10,2000.0,16.0,-2.9,,333.0,6.0,0.0,60.0,,1.0,,,0.0
1, 10,2000.0,19.0,-3.9,0.0,336.0,7.4,0.0,65.0,0.0,1.0,,,0.0
1, 10,2000.0,22.0,-4.6,,340.0,5.5,0.0,65.0,,1.0,,,0.0
1, 10,2000.0,25.0,-5.3,0.0,347.0,2.7,0.0,65.0,0.0,1.0,,,0.0
1, 10,2000.0,28.0,-3.5,,354.0,1.7,0.0,54.0,,1.0,,,0.0
1, 10,2000.0,31.0,0.1,0.0,348.0,1.5,0.0,40.0,0.0,1.0,,,0.0
1, 10,2000.0,34.0,1.5,,335.0,3.2,0.0,40.0,,1.0,,,0.0
1, 10,2000.0,37.0,-1.1,0.0,13.0,2.2,0.0,50.0,0.0,1.0,,,0.0
1, 10,2000.0,40.0,-3.0,,350.0,0.8,0.0,69.0,,1.0,,,0.0
1, 10,2000.0,43.0,-3.9,0.0,215.0,0.5,0.0,85.0,0.0,1.0,,,0.0
1, 10,2000.0,46.0,-4.1,,355.0,1.0,0.0,85.0,,1.0,,,0.0
